som_NLSHproc_evc_1,som_awaitack_dmi_1,som_checklev_evc_1,som_checkpos_rbc_1,som_checkrbcsess_rtm_1,som_checktrain_rbc_1,som_checktrainroute_rbc_1,som_checkval_rbc_1,som_chmod_evc_1,som_driversel_dmi_1,som_enterid_dmi_1,som_giveup_evc_1,som_grantFS_rbc_1,som_grantOS_rbc_1,som_grantSN_evc_1,som_grantSR_evc_1,som_grantSR_rbc_1,som_grantUN_evc_1,som_inserttraindata_dmi_1,som_openconn_rtm_1,som_retry_dmi_1,som_retryconn_dmi_1,som_selstart_dmi_1,som_sendMAreq_rtm_1,som_storeacc_evc_1,som_storeid_evc_1,som_storepos_rbc_1,som_storevalacc_rbc_1,som_validate_evc_1,Fitness
0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6841980610730414
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0.6922985207806094
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999985714489793
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999904762811783
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,2,0.555547736683432
0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0.5384573964815655
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9047485262045123
0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5293996541217162
0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.4499905000949991
0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.4736739613267229
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.624992187597655
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8823366783920189
1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.5909037190570995
0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.77776913589849
0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0.4117539793649486
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0.5999853335288863
0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0.5172378121530197
0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0.5384535503573049
2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4999937500781241
0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.7272615703493605
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0.7692210059922616
0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0.4999950000499995
0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.7142770408782795
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0.681807438114199
0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7894601109462005
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0.6521682420152868
